segment_kpi_id,period_end,fiscal_year,fiscal_quarter,period_type,ticker,kpi_group,segment_name,kpi_name,kpi_value,unit,currency,source_type,source_url,source_accession_number,filed_date,is_reported,is_derived,derivation_method,confidence,notes
segment_kpi_a2e6d63f6f62,2025-06-30,2025,Q2,quarter,GOOGL,segment,Google Cloud,revenue,13624.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000062/0001652044-25-000062-index.html,0001652044-25-000062,2025-07-24,True,False,,high,Extracted from official SEC filing table.
segment_kpi_76634e7db813,2025-06-30,2025,Q2,quarter,GOOGL,segment,Google Network,revenue,7354.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000062/0001652044-25-000062-index.html,0001652044-25-000062,2025-07-24,True,False,,high,Extracted from official SEC filing table.
segment_kpi_400cdd15b033,2025-06-30,2025,Q2,quarter,GOOGL,segment,Google Search & other,revenue,54190.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000062/0001652044-25-000062-index.html,0001652044-25-000062,2025-07-24,True,False,,high,Extracted from official SEC filing table.
segment_kpi_15c7ba999028,2025-06-30,2025,Q2,quarter,GOOGL,segment,Google Services,operating_income,33063.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000062/0001652044-25-000062-index.html,0001652044-25-000062,2025-07-24,True,False,,high,Extracted from official SEC filing table.
segment_kpi_ea70b8937921,2025-06-30,2025,Q2,quarter,GOOGL,segment,Google Services,revenue,82543.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000062/0001652044-25-000062-index.html,0001652044-25-000062,2025-07-24,True,False,,high,Extracted from official SEC filing table.
segment_kpi_8ce243ae0acb,2025-06-30,2025,Q2,quarter,GOOGL,segment,Google subscriptions platforms and devices,revenue,11203.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000062/0001652044-25-000062-index.html,0001652044-25-000062,2025-07-24,True,False,,high,Extracted from official SEC filing table.
segment_kpi_92b1b36f3df1,2025-06-30,2025,Q2,quarter,GOOGL,segment,Other Bets,operating_income,-1246.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000062/0001652044-25-000062-index.html,0001652044-25-000062,2025-07-24,True,False,,high,Extracted from official SEC filing table.
segment_kpi_8f930697ee3e,2025-06-30,2025,Q2,quarter,GOOGL,segment,Other Bets,revenue,373.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000062/0001652044-25-000062-index.html,0001652044-25-000062,2025-07-24,True,False,,high,Extracted from official SEC filing table.
segment_kpi_6a5889dd9a00,2025-06-30,2025,Q2,quarter,GOOGL,segment,YouTube ads,revenue,9796.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000062/0001652044-25-000062-index.html,0001652044-25-000062,2025-07-24,True,False,,high,Extracted from official SEC filing table.
segment_kpi_da760c722b5d,2025-03-31,2025,Q1,quarter,GOOGL,segment,Google Cloud,operating_income,2177.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000043/0001652044-25-000043-index.html,0001652044-25-000043,2025-04-25,True,False,,high,Extracted from official SEC filing table.
